Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /auth/login（一次性）,10,0,460,425.7664099946851,365.458199987188,490.6153999909293,528.0,0.1697270400653401,0.0,460,460,480,480,490,490,490,490,490,490,490
POST,POST /found-items（含同步识别）,363,0,1400,1476.8977570233637,1123.116700007813,6647.417600004701,467.97520661157023,6.161091554371845,0.0,1400,1400,1400,1400,1500,1500,4800,5200,6600,6600,6600
,Aggregated,373,0,1400,1448.7172919555708,365.458199987188,6647.417600004701,469.5844504021448,6.3308185944371855,0.0,1400,1400,1400,1400,1500,1500,4800,5200,6600,6600,6600
