Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /auth/login（一次性）,10,0,280,267.53775000106543,243.37110001943074,288.3545999939088,528.0,0.16974910698772183,0.0,280,280,280,290,290,290,290,290,290,290,290
POST,POST /found-items（含同步识别）,326,0,1600,1660.2485257675307,1295.2678999863565,4526.235500001349,482.0,5.533820887799731,0.0,1600,1600,1700,1700,1800,1800,3900,4000,4500,4500,4500
,Aggregated,336,0,1600,1618.7988002982906,243.37110001943074,4526.235500001349,483.3690476190476,5.703569994787453,0.0,1600,1600,1700,1700,1800,1800,3900,4000,4500,4500,4500
