Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /auth/login（一次性）,10,0,290,286.449779997929,275.197200011462,299.0970000100788,528.0,0.16934034780600113,0.0,290,300,300,300,300,300,300,300,300,300,300
POST,POST /found-items,4463,0,25,31.276970423758343,8.384000015212223,765.6383000139613,502.9621330943312,75.5765972258183,0.0,25,30,34,37,50,68,100,140,640,770,770
,Aggregated,4473,0,25,31.847443952875647,8.384000015212223,765.6383000139613,503.01810865191146,75.7459375736243,0.0,25,30,34,37,50,70,110,150,640,770,770
