Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /matches,2557,0,110,129.10647939013842,42.43329999735579,581.5936999861151,25718.0,43.37141996136904,0.0,110,130,170,190,230,260,300,340,490,580,580
POST,POST /auth/login（一次性）,10,0,360,355.9810800041305,307.2505000163801,428.0581999919377,528.0,0.1696183807640557,0.0,360,360,360,430,430,430,430,430,430,430,430
,Aggregated,2567,0,110,129.99029162470794,42.43329999735579,581.5936999861151,25619.86988702766,43.54103834213309,0.0,110,130,170,190,230,260,320,360,490,580,580
