Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /auth/login（一次性）,10,0,250,248.78516000171658,237.85299999872223,259.4276000163518,528.0,0.16965655709570127,0.0,250,260,260,260,260,260,260,260,260,260,260
POST,POST /found-items（含同步识别）,409,0,1300,1315.2798090464821,961.8445999803953,4010.6739999901038,482.0,6.9389531852141815,0.0,1300,1300,1300,1300,1400,1400,3300,3700,4000,4000,4000
,Aggregated,419,0,1300,1289.826476133719,237.85299999872223,4010.6739999901038,483.09785202863964,7.108609742309883,0.0,1300,1300,1300,1300,1400,1400,3300,3700,4000,4000,4000
