Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /auth/login（一次性）,10,0,340,309.6135400031926,236.86270002508536,369.4848000013735,528.0,0.16941342985423694,0.0,340,350,350,350,370,370,370,370,370,370,370
POST,POST /handover/verify（错码路径）,3955,0,29,49.20233370412162,17.825499991886318,322.8053000057116,53.0,67.0030115073507,0.0,29,34,40,49,130,180,220,250,310,320,320
,Aggregated,3965,0,29,49.85910849932735,17.825499991886318,369.4848000013735,54.19798234552333,67.17242493720495,0.0,29,34,40,50,130,180,220,260,350,370,370
