Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /auth/login（一次性）,10,0,240,239.26170000631828,235.60380001435988,245.3512000211049,528.0,0.16938576196811764,0.0,240,240,240,240,250,250,250,250,250,250,250
POST,POST /handover/verify（错码路径）,4787,0,15,20.19500908716185,7.2567999886814505,1022.2990000038408,53.0,81.08496425413792,0.0,15,18,21,23,30,37,57,130,580,1000,1000
,Aggregated,4797,0,15,20.651683448052314,7.2567999886814505,1022.2990000038408,53.990202209714404,81.25435001610603,0.0,15,18,21,23,30,37,64,150,580,1000,1000
