Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /lost-items,5095,0,11,14.88593313063292,7.221999985631555,305.6978000095114,7245.0,86.31846034632042,0.0,11,12,13,14,17,21,100,150,260,310,310
POST,POST /auth/login（一次性）,10,0,340,294.43966999824625,231.09220000333153,357.95569999027066,528.0,0.16941797908993214,0.0,340,350,360,360,360,360,360,360,360,360,360
,Aggregated,5105,0,11,15.433540842420605,7.221999985631555,357.95569999027066,7231.842311459353,86.48787832541036,0.0,11,12,13,14,17,21,110,150,310,360,360
