Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /lost-items,5414,0,5,6.410018526055124,3.2524999987799674,117.60800000047311,7665.0,91.74492706728651,0.0,5,6,7,7,10,13,17,20,96,120,120
POST,POST /auth/login（一次性）,10,0,240,237.9467899998417,229.09100001561455,253.50560000515543,528.0,0.16945867577998985,0.0,240,240,240,240,250,250,250,250,250,250,250
,Aggregated,5424,0,5,6.836893104730984,3.2524999987799674,253.50560000515543,7651.841814159292,91.91438574306649,0.0,5,6,7,8,10,14,17,21,230,250,250
