Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /lost-items,5415,0,6,8.081058061028989,3.358499991009012,143.8592000049539,7665.0,91.70975910181907,0.0,6,8,9,10,13,17,23,29,120,140,140
POST,POST /auth/login（一次性）,10,0,240,243.80353000597097,237.93030000524595,254.0652999887243,528.0,0.16936243601443968,0.0,240,250,250,250,250,250,250,250,250,250,250
,Aggregated,5425,0,6,8.515569530051923,3.358499991009012,254.0652999887243,7651.844239631337,91.87912153783351,0.0,6,8,9,10,13,17,23,33,240,250,250
