Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /auth/login（一次性）,10,0,230,237.38956000597682,227.2765000234358,252.04210000811145,528.0,0.16937988062846882,0.0,230,240,240,250,250,250,250,250,250,250,250
POST,POST /handover/verify（错码路径）,5448,0,7,8.709545668327427,4.178000002866611,116.00019998149946,53.0,92.27815896638981,0.0,7,9,10,11,14,17,21,25,110,120,120
,Aggregated,5458,0,7,9.128527006432318,4.178000002866611,252.04210000811145,53.8702821546354,92.44753884701828,0.0,7,9,10,11,14,17,21,27,230,250,250
