Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /matches,3679,0,51,60.03288793150127,17.371100024320185,262.5694000162184,26558.0,62.26748740758415,0.0,51,66,76,83,110,130,150,190,240,260,260
POST,POST /auth/login（一次性）,10,0,250,242.6443600008497,231.4462999929674,250.45540000428446,528.0,0.16925112097739642,0.0,250,250,250,250,250,250,250,250,250,250,250
,Aggregated,3689,0,51,60.52790412035827,17.371100024320185,262.5694000162184,26487.438872323124,62.43673852856154,0.0,51,66,77,84,110,130,170,200,250,260,260
