Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /matches,3124,0,74,85.41662871325262,18.833500012988225,292.7592000050936,26558.0,52.90588247867961,0.0,74,97,110,120,160,180,230,250,280,290,290
POST,POST /auth/login（一次性）,10,0,290,274.0976100030821,242.6770000020042,308.2024999894202,528.0,0.16935301689718185,0.0,290,290,290,310,310,310,310,310,310,310,310
,Aggregated,3134,0,74,86.01867396306062,18.833500012988225,308.2024999894202,26474.943203573708,53.07523549557679,0.0,74,97,110,120,160,190,240,250,290,310,310
