Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /lost-items,666,0,7,11.321877026594839,4.858600004808977,215.1863000181038,7665.0,11.282244218082328,0.0,7,8,9,10,14,21,66,120,220,220,220
GET,GET /matches,361,0,29,38.53953988950795,22.171299991896376,548.075600003358,26558.0,6.115450694786367,0.0,29,32,34,36,42,57,170,280,550,550,550
POST,POST /auth/login（一次性）,10,0,360,311.2845500058029,245.3100999991875,383.1114000058733,528.0,0.1694030663375725,0.0,360,360,380,380,380,380,380,380,380,380,380
POST,POST /found-items（含同步识别）,317,0,1500,1607.0273372230645,1140.4137999925297,6075.236699980451,481.9716088328076,5.370077202901048,0.0,1500,1600,1600,1700,1800,1900,3900,5600,6100,6100,6100
POST,POST /handover/verify（错码路径）,306,0,7,9.729271568300879,4.804399999557063,182.31699999887496,77.0,5.183733829929718,0.0,7,8,9,10,13,20,38,73,180,180,180
,Aggregated,1660,0,11,323.4763930719844,4.804399999557063,6075.236699980451,8960.213855421687,28.120909012037032,0.0,11,28,37,220,1500,1600,1800,1900,5800,6100,6100
