Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /lost-items,534,0,16,18.07429269604753,10.207000013906509,155.22639997652732,7245.0,9.054842707122807,0.0,16,17,18,20,24,32,37,50,160,160,160
GET,GET /matches,280,0,67,73.66083071246976,50.04509998252615,361.1935000226367,25718.0,4.747857599240423,0.0,67,72,76,77,91,100,170,210,360,360,360
POST,POST /auth/login（一次性）,10,0,420,439.61143999767955,386.51059998665005,507.1407000068575,528.0,0.16956634283001512,0.0,420,500,500,500,510,510,510,510,510,510,510
POST,POST /found-items（含同步识别）,277,0,1800,1815.9865415160207,1241.1604000080843,5371.77649998921,468.0,4.696987696391419,0.0,1800,1800,1900,1900,2000,2100,3600,4400,5400,5400,5400
POST,POST /handover/verify（错码路径）,270,0,19,21.55241259207725,12.94169999891892,105.18539999611676,77.0,4.578291256410409,0.0,19,21,23,24,30,36,44,64,110,110,110
,Aggregated,1371,0,23,396.4407313632066,10.207000013906509,5371.77649998921,8187.874544128374,23.247545601995075,0.0,23,65,79,1300,1800,1900,2000,2100,5400,5400,5400
