Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /auth/login（一次性）,5,0,280,279.44706000271253,277.95360001618974,280.13149998150766,528.0,0.1722897459984191,0.0,280,280,280,280,280,280,280,280,280,280,280
POST,POST /found-items,1187,0,16,20.842684077660152,8.209300023736432,745.6714999862015,501.99326032013477,40.90158570002469,0.0,16,18,20,21,25,30,44,110,740,750,750
,Aggregated,1192,0,16,21.927433976674635,8.209300023736432,745.6714999862015,502.1023489932886,41.07387544602311,0.0,16,18,20,21,25,31,57,170,740,750,750
