Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /lost-items,383,0,5,5.888308094849071,4.296899976907298,19.0784000151325,7665.0,27.4368851622399,0.0,5,6,6,6,8,9,13,18,19,19,19
POST,POST /auth/login（一次性）,3,0,233.6551999906078,235.28436666432148,233.6551999906078,237.57719999412075,528.0,0.2149103276415658,0.0,230,230,240,240,240,240,240,240,240,240,240
,Aggregated,386,0,5,7.671179016373467,4.296899976907298,237.57719999412075,7609.531088082902,27.651795489881465,0.0,5,6,6,6,8,9,15,19,240,240,240
