Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /lost-items,671,0,7,8.065186587027684,4.275099985534325,116.16169998887926,7665.0,11.36359275619077,0.0,7,7,8,8,10,13,19,64,120,120,120
GET,GET /matches,338,0,28,31.492970119138832,21.685900021111593,255.21180001669563,26558.0,5.724134652149746,0.0,28,30,31,32,36,40,51,180,260,260,260
POST,POST /auth/login（一次性）,10,0,300,277.9602800059365,233.75370001303963,320.4711000144016,528.0,0.16935309621744812,0.0,300,310,320,320,320,320,320,320,320,320,320
POST,POST /found-items（含同步识别）,318,0,1500,1626.2204556593397,862.9975000221748,5565.627800009679,481.97169811320754,5.38542845971485,0.0,1500,1600,1600,1600,1700,1800,4500,4700,5600,5600,5600
POST,POST /handover/verify（错码路径）,317,0,6,7.899894005687297,4.384400002891198,49.60560001200065,77.0,5.368493150093105,0.0,6,7,8,9,12,16,26,27,50,50,50
,Aggregated,1654,0,9,325.56126856088076,4.275099985534325,5565.627800009679,8647.385126964933,28.01100211436592,0.0,9,26,32,210,1500,1600,1700,1800,4900,5600,5600
